rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0289.jpg,115.6,0.7435,0.733,0.75,0.76,3,3,False,True
2,frame_0073.jpg,29.2,0.7375,0.475,1.0,1.0,5,4,False,True
3,frame_0022.jpg,8.8,0.7,0.0,0.0,1.0,0,0,True,True
4,frame_0074.jpg,29.6,0.6827,0.5155,0.75,1.0,4,3,False,False
5,frame_0287.jpg,114.8,0.672,0.6221,0.75,0.68,3,3,False,False
6,frame_0294.jpg,117.6,0.6714,0.4548,1.0,0.72,4,4,False,True
7,frame_0205.jpg,82.0,0.644,0.0,0.0,0.72,0,0,True,True
8,frame_0204.jpg,81.6,0.636,0.0,0.0,0.68,0,0,True,False
9,frame_0123.jpg,49.2,0.6334,0.5608,0.75,0.64,4,3,False,True
10,frame_0211.jpg,84.4,0.628,0.0,0.0,0.64,0,0,True,True
11,frame_0015.jpg,6.0,0.6203,0.3907,0.75,1.0,4,3,False,True
12,frame_0212.jpg,84.8,0.62,0.0,0.0,0.6,0,0,True,False
13,frame_0000.jpg,0.0,0.6138,0.3776,0.75,1.0,5,3,False,True
14,frame_0029.jpg,11.6,0.6107,0.3714,0.75,1.0,3,3,False,True
15,frame_0071.jpg,28.4,0.6089,0.3677,0.75,1.0,3,3,False,False
16,frame_0086.jpg,34.4,0.604,0.0,0.0,0.52,0,0,True,True
17,frame_0200.jpg,80.0,0.604,0.0,0.0,0.52,0,0,True,True
18,frame_0072.jpg,28.8,0.5882,0.3264,0.75,1.0,6,3,False,False
19,frame_0001.jpg,0.4,0.5863,0.4727,0.5,1.0,3,2,False,False
20,frame_0197.jpg,78.8,0.58,0.0,0.0,0.4,0,0,True,False
21,frame_0079.jpg,31.6,0.5689,0.3678,0.75,0.8,4,3,False,False
22,frame_0295.jpg,118.0,0.5561,0.3902,0.75,0.68,4,3,False,False
23,frame_0116.jpg,46.4,0.5496,0.5052,0.75,0.36,3,3,False,False
